"Type","X","Y","Lat-WGS84","Long-WGS84","Distance","Bathy","Flux","ITI"
T1,206048.7,770566.6,56°47'10.0116"N,5°10'36.1072"W,.0,20.5,21508.3,1.0
T1,206040.1,770559.7,56°47'9.7767"N,5°10'36.5950"W,11.0,20.5,17304.0,1.0
T1,206035.1,770555.8,56°47'9.6421"N,5°10'36.8755"W,17.4,20.5,14740.5,1.0
T1,205997.4,770525.6,56°47'8.6128"N,5°10'39.0113"W,65.6,20.1,5191.6,4.0
T1,205952.8,770490.0,56°47'7.3971"N,5°10'41.5369"W,122.6,19.6,1569.4,9.9
T1,205918.8,770462.9,56°47'6.4685"N,5°10'43.4652"W,166.2,20.1,546.7,20.0
T1,205877.2,770429.7,56°47'5.3346"N,5°10'45.8200"W,219.4,19.4,212.6,29.1
T1,205873.2,770426.5,56°47'5.2245"N,5°10'46.0483"W,224.6,19.3,191.9,30.0
T1,205860.3,770416.2,56°47'4.8739"N,5°10'46.7765"W,241.0,18.8,162.6,31.5
T1,205860.2,770416.1,56°47'4.8710"N,5°10'46.7825"W,241.1,18.8,162.2,31.5
T2,206061.9,770598.8,56°47'11.0728"N,5°10'35.4176"W,.0,20.2,27852.9,1.0
T2,206041.0,770584.8,56°47'10.5884"N,5°10'36.6074"W,25.1,20.2,17024.0,1.0
T2,206040.5,770584.4,56°47'10.5763"N,5°10'36.6370"W,25.8,20.2,16706.4,1.0
T2,205995.1,770553.9,56°47'9.5236"N,5°10'39.2233"W,80.4,20.0,5194.0,4.0
T2,205940.3,770517.1,56°47'8.2507"N,5°10'42.3485"W,146.5,18.4,1530.5,10.1
T2,205901.4,770491.0,56°47'7.3497"N,5°10'44.5633"W,193.3,18.7,546.6,20.0
T2,205868.0,770468.5,56°47'6.5729"N,5°10'46.4689"W,233.6,18.7,193.1,29.9
T2,205867.9,770468.4,56°47'6.5708"N,5°10'46.4737"W,233.8,18.7,192.1,30.0
T2,205852.8,770458.2,56°47'6.2194"N,5°10'47.3371"W,252.0,18.4,130.7,33.4
S1,205884.2,770435.9,56°47'5.5468"N,5°10'45.4266"W,N/A,19.7,268.2,27.0
S2,205868.5,770423.6,56°47'5.1236"N,5°10'46.3166"W,N/A,19.1,177.8,30.7
S3,205875.9,770474.0,56°47'6.7635"N,5°10'46.0170"W,N/A,18.7,290.1,26.3
S4,205859.4,770462.4,56°47'6.3653"N,5°10'46.9579"W,N/A,18.6,120.8,34.2
