Starttime,EndTime,RunNo,ConsentMass,EqvBiomass,Particles,Tide,FarFieldArea,FarFieldPass,FarFieldConc,FarFieldAreadiff,FarFieldAreaAdjust,FarFieldVol,NearFieldArea,NearFieldPass,NearFieldConc,NearFieldConcdiff,NearFieldAreadiff,NearFieldVol,MassBalance(g),Status,RunTime,FeedFile,GridFile
"25/09/2007 09:54:08","25/09/2007 10:17:29",1,3482.5,9950,10,S,224250,High,77.8716744543412,37062.5558246416,0,20149464.7949237,44700,High,361.814629240182,354.184629125741,393.956500695029,9434315.11503415,2470.86701371976,HIGH,"00:23:21","C:\SEPA Consent\DATA\Gorsten\depomod\partrack\GorstenN2-E-9950-219-118.csv","C:\SEPA Consent\DATA\Gorsten\depomod\resus\Gorsten-E-S-1f.grd"
"25/09/2007 10:17:30","25/09/2007 10:41:31",2,1741.25,4975,10,S,224250,Low,47.0478014659935,-8652.29759388653,0,9978896.84992399,44700,High,180.903570181521,173.27357006708,377.5073702441,4715268.06824572,1234.77763215681,LOW,"00:24:01","C:\SEPA Consent\DATA\Gorsten\depomod\partrack\GorstenN2-E-4975-219-118.csv","C:\SEPA Consent\DATA\Gorsten\depomod\resus\Gorsten-E-S-2f.grd"
"25/09/2007 10:41:32","25/09/2007 11:05:25",3,2611.875,7462.5,10,S,224250,High,62.8300971846085,18414.2066990032,0,15061462.8976359,44700,High,271.362178954344,263.732178839903,389.144716123847,7075036.42619877,1852.83469407467,HIGH,"00:23:53","C:\SEPA Consent\DATA\Gorsten\depomod\partrack\GorstenN2-E-7463-219-118.csv","C:\SEPA Consent\DATA\Gorsten\depomod\resus\Gorsten-E-S-3f.grd"
"25/09/2007 11:05:25","25/09/2007 11:29:14",4,2176.5625,6218.75,10,S,224250,High,54.9255655500597,6897.2707541709,0,12519529.2012949,44700,High,226.132295358685,218.502295244244,385.446970256286,5895251.44984277,1543.86352710759,HIGH,"00:23:49","C:\SEPA Consent\DATA\Gorsten\depomod\partrack\GorstenN2-E-6219-219-118.csv","C:\SEPA Consent\DATA\Gorsten\depomod\resus\Gorsten-E-S-4f.grd"
"25/09/2007 11:57:10","25/09/2007 12:21:06",5,3482.5,9950,10,S,224250,High,77.3113213615418,38895.9316902057,0,20143379.3409927,44700,High,361.360772918646,353.730772804205,425.461962511377,9420426.04218087,2469.90859999242,HIGH,"00:23:56","C:\SEPA Consent\DATA\Gorsten\depomod\partrack\GorstenN2-E-9950-219-118.csv","C:\SEPA Consent\DATA\Gorsten\depomod\resus\Gorsten-E-S-5f.grd"
"25/09/2007 12:21:07","25/09/2007 12:45:03",6,1741.25,4975,10,S,224250,Low,47.0549132213094,-8756.42106977399,0,9975610.05312128,44700,High,180.672631041783,173.042630927342,408.034487300632,4708044.10290427,1234.3556049942,LOW,"00:23:56","C:\SEPA Consent\DATA\Gorsten\depomod\partrack\GorstenN2-E-4975-219-118.csv","C:\SEPA Consent\DATA\Gorsten\depomod\resus\Gorsten-E-S-6f.grd"
"25/09/2007 12:45:03","25/09/2007 13:08:57",7,2611.875,7462.5,10,S,224250,High,62.6509438416887,19040.8994424829,0,15056773.5191061,44700,High,271.015361221276,263.385361106835,420.307953622701,7064277.79511103,1852.1707509272,HIGH,"00:23:54","C:\SEPA Consent\DATA\Gorsten\depomod\partrack\GorstenN2-E-7463-219-118.csv","C:\SEPA Consent\DATA\Gorsten\depomod\resus\Gorsten-E-S-7f.grd"
"25/09/2007 13:08:58","25/09/2007 13:32:52",8,2176.5625,6218.75,10,S,224250,High,54.9123785443699,6881.0722935505,0,12515603.9243445,44700,High,225.843251797049,218.213251682608,416.467255394789,5886266.95428148,1543.31362054769,HIGH,"00:23:54","C:\SEPA Consent\DATA\Gorsten\depomod\partrack\GorstenN2-E-6219-219-118.csv","C:\SEPA Consent\DATA\Gorsten\depomod\resus\Gorsten-E-S-8f.grd"
"25/09/2007 13:32:53","25/09/2007 13:56:45",9,1958.90625,5596.875,10,S,224250,Pass,51.0876617988843,-810.218337657396,0,11244531.4420169,44700,High,204.756248191612,197.126248077171,-161.559058390812,5211498.78455896,1388.72735996656,PASS,"00:23:52","C:\SEPA Consent\DATA\Gorsten\depomod\partrack\GorstenN2-E-5597-219-118.csv","C:\SEPA Consent\DATA\Gorsten\depomod\resus\Gorsten-E-S-9f.grd"
"25/09/2007 14:08:29","25/09/2007 15:16:24",10,2100,6000,10,S,224250,Low,47.8033752029073,-6828.56235889034,0,10227586.0013051,44700,High,186.488751544875,178.858751430434,-190.966899236679,4734592.92364476,1265.08170330926,LOW,"01:07:55","C:\SEPA Consent\DATA\Gorsten\depomod\partrack\GorstenN2-E-6000-220-223.csv","C:\SEPA Consent\DATA\Gorsten\depomod\resus\Gorsten-E-S-10f.grd"
"25/09/2007 15:18:39","25/09/2007 15:43:00",11,2100,6000,10,S,224250,High,53.3632108274168,5072.1857694533,0,12062395.3162529,44700,High,219.020229895637,211.390229781196,-10.5171026353055,5610886.97089483,1488.09857004276,HIGH,"00:24:21","C:\SEPA Consent\DATA\Gorsten\depomod\partrack\GorstenN2-E-6000-210-118.csv","C:\SEPA Consent\DATA\Gorsten\depomod\resus\Gorsten-E-S-11f.grd"
