Starttime,EndTime,RunNo,ConsentMass,EqvBiomass,Particles,Tide,FarFieldArea,FarFieldPass,FarFieldConc,FarFieldAreadiff,FarFieldAreaAdjust,FarFieldVol,NearFieldArea,NearFieldPass,NearFieldConc,NearFieldConcdiff,NearFieldAreadiff,NearFieldVol,MassBalance(g),Status,RunTime,FeedFile,GridFile
"27/09/2007 11:38:05","27/09/2007 11:38:55",1,139300,1990,10,N,224250,High,4.28386091911555,246758.29877151,0,2016792.02704409,44700,High,37.7900626614342,27.7900626614342,-9.56720294306433,1046429.2843097,122724.450778046,HIGH,"00:00:50","C:\SEPA Consent\DATA\Gorsten\depomod\partrack\GorstenN2-E-6875-219-223.csv","C:\SEPA Consent\DATA\Gorsten\depomod\resus\Gorsten-T-N-1f.grd"
"27/09/2007 11:38:55","27/09/2007 11:39:44",2,69650,995,10,N,224250,High,2.22016078980587,223698.144093703,0,993621.009052407,44700,High,18.5965540710671,8.59655407106712,312.157228724704,527612.434811871,60507.6444549388,HIGH,"00:00:49","C:\SEPA Consent\DATA\Gorsten\depomod\partrack\GorstenN2-E-6875-219-223.csv","C:\SEPA Consent\DATA\Gorsten\depomod\resus\Gorsten-T-N-2f.grd"
"27/09/2007 11:39:44","27/09/2007 11:40:33",3,34825,497.5,10,N,224250,High,1.14720936398381,198712.24347314,0,484380.321796858,44700,Pass,9.14355604631482,-.856443953685179,-52.3303734419387,261738.303605638,29534.8980562555,HIGH,"00:00:49","C:\SEPA Consent\DATA\Gorsten\depomod\partrack\GorstenN2-E-6875-219-223.csv","C:\SEPA Consent\DATA\Gorsten\depomod\resus\Gorsten-T-N-3f.grd"
"27/09/2007 11:40:33","27/09/2007 11:41:21",4,17412.5,248.75,10,N,224250,High,.590215666599208,171440.895592144,0,232751.583880382,44700,Pass,4.38518321453062,-5.61481678546938,-232.296602479611,128992.279296838,14230.3805959219,HIGH,"00:00:48","C:\SEPA Consent\DATA\Gorsten\depomod\partrack\GorstenN2-E-6875-219-223.csv","C:\SEPA Consent\DATA\Gorsten\depomod\resus\Gorsten-T-N-4f.grd"
"27/09/2007 11:41:21","27/09/2007 11:42:07",5,8706.25,124.375,10,N,224250,High,.311669902196264,129164.898549774,0,109441.957035039,44700,Pass,2.00905998113213,-7.99094001886787,129.965744555033,62047.361542563,6724.62124762875,HIGH,"00:00:46","C:\SEPA Consent\DATA\Gorsten\depomod\partrack\GorstenN2-E-6875-219-223.csv","C:\SEPA Consent\DATA\Gorsten\depomod\resus\Gorsten-T-N-5f.grd"
"27/09/2007 11:42:07","27/09/2007 11:42:50",6,4353.125,62.1875,10,N,224250,High,.176411838873488,62843.5843146021,0,50072.5199418182,44700,Pass,.890127246733861,-9.10987275326614,119.979576079539,26326.9365142463,3104.73939419579,HIGH,"00:00:43","C:\SEPA Consent\DATA\Gorsten\depomod\partrack\GorstenN2-E-6875-219-223.csv","C:\SEPA Consent\DATA\Gorsten\depomod\resus\Gorsten-T-N-6f.grd"
"27/09/2007 11:42:51","27/09/2007 11:43:29",7,2176.5625,31.09375,10,N,224250,High,.103013280622735,3433.28008217746,0,22999.0350424171,44700,Pass,.398492143204322,-9.60150785679568,66.1140264002097,10516.3625929675,1443.74875758229,HIGH,"00:00:38","C:\SEPA Consent\DATA\Gorsten\depomod\partrack\GorstenN2-E-6875-219-223.csv","C:\SEPA Consent\DATA\Gorsten\depomod\resus\Gorsten-T-N-7f.grd"
"27/09/2007 11:43:30","27/09/2007 11:44:07",8,1088.28125,15.546875,10,N,224250,Low,7.99869964004787E-02,-94782.7451840141,0,10096.7623230154,44700,Pass,.193954764434364,-9.80604523556564,271.99472219235,5428.68537279446,634.806249127723,LOW,"00:00:37","C:\SEPA Consent\DATA\Gorsten\depomod\partrack\GorstenN2-E-6875-219-223.csv","C:\SEPA Consent\DATA\Gorsten\depomod\resus\Gorsten-T-N-8f.grd"
"27/09/2007 11:44:07","27/09/2007 11:44:44",9,1632.421875,23.3203125,10,N,224250,Low,8.52344513887824E-02,-18794.5642974318,0,17100.9704560293,44700,Pass,.296271270352909,-9.70372872964709,-134.246606503686,7545.7907108419,1078.77750238004,LOW,"00:00:37","C:\SEPA Consent\DATA\Gorsten\depomod\partrack\GorstenN2-E-6875-219-223.csv","C:\SEPA Consent\DATA\Gorsten\depomod\resus\Gorsten-T-N-9f.grd"
"27/09/2007 11:44:44","27/09/2007 11:45:21",10,1904.4921875,27.20703125,10,N,224250,Low,9.34872274732755E-02,-7375.15881917899,0,19841.2779077383,44700,Pass,.343945159018642,-9.65605484098136,262.350608504647,9097.84373005697,1247.79687814502,CONV,"00:00:37","C:\SEPA Consent\DATA\Gorsten\depomod\partrack\GorstenN2-E-6875-219-223.csv","C:\SEPA Consent\DATA\Gorsten\depomod\resus\Gorsten-T-N-10f.grd"
"27/09/2007 11:45:22","27/09/2007 11:45:53",11,1904.4921875,27.20703125,10,S,224250,Low,.115556566747216,-42710.9697205875,0,20614.9489919037,44700,Pass,.376271611492077,-9.62372838850792,31.6934689693007,9841.93928181224,1284.10562553443,LOW,"00:00:31","C:\SEPA Consent\DATA\Gorsten\depomod\partrack\GorstenN2-E-6875-219-223.csv","C:\SEPA Consent\DATA\Gorsten\depomod\resus\Gorsten-T-S-11f.grd"
