"Type","X","Y","Lat-WGS84","Long-WGS84","Distance","Bathy","Flux","ITI"
T2,206076.7,770552.3,56°47'9.5934"N,5°10'34.4219"W,.0,21.2,16199.7,1.0
T2,206075.2,770546.7,56°47'9.4085"N,5°10'34.4956"W,5.8,21.3,13150.8,1.0
T2,206069.7,770526.3,56°47'8.7424"N,5°10'34.7607"W,26.9,21.9,5199.0,4.0
T2,206066.4,770514.1,56°47'8.3455"N,5°10'34.9192"W,39.5,22.4,1624.8,9.6
T2,206061.7,770496.3,56°47'7.7636"N,5°10'35.1514"W,58.0,23.4,547.0,20.0
T2,206059.2,770487.2,56°47'7.4651"N,5°10'35.2700"W,67.4,23.5,196.7,29.8
T2,206058.1,770483.2,56°47'7.3325"N,5°10'35.3226"W,71.6,23.6,191.9,30.0
T2,206052.0,770460.3,56°47'6.5857"N,5°10'35.6206"W,95.3,24.6,55.5,40.0
T2,206051.1,770456.7,56°47'6.4671"N,5°10'35.6677"W,99.0,24.9,48.4,41.0
T2,206050.9,770456.3,56°47'6.4529"N,5°10'35.6733"W,99.4,24.9,47.5,41.1
S1,205884.0,770436.0,56°47'5.5485"N,5°10'45.4388"W,N/A,19.7,267.7,27.0
S2,205868.0,770424.0,56°47'5.1370"N,5°10'46.3472"W,N/A,19.1,178.0,30.7
S3,206061.7,770497.0,56°47'7.7848"N,5°10'35.1541"W,N/A,23.4,577.3,19.5
S4,206056.1,770477.7,56°47'7.1528"N,5°10'35.4295"W,N/A,23.7,182.3,30.5
