Site:,GorstenN2,6875,tonnes,118,days,2832,timesteps,,
3,4,4,3,85,9,mg,ug,ug,
Day,Time,A-Chem(fd)ug/d,A-Chem(fae)ug/d,A-FI(kg/d for farm),,,,,
1,1,10312500,33343750,34375,,,,,
#NAME?,2,10312500,33343750,34375,,,,,
#NAME?,3,10312500,33343750,34375,,,,,
#NAME?,4,10312500,33343750,34375,,,,,
#NAME?,5,10312500,33343750,34375,,,,,
#NAME?,6,10312500,33343750,34375,,,,,
#NAME?,7,10312500,33343750,34375,,,,,
#NAME?,8,10312500,33343750,34375,,,,,
#NAME?,9,10312500,33343750,34375,,,,,
#NAME?,10,10312500,33343750,34375,,,,,
#NAME?,11,10312500,33343750,34375,,,,,
#NAME?,12,10312500,33343750,34375,,,,,
#NAME?,13,10312500,33343750,34375,,,,,
#NAME?,14,10312500,33343750,34375
#NAME?,15,10312500,33343750,34375
#NAME?,16,10312500,33343750,34375
#NAME?,17,10312500,33343750,34375
#NAME?,18,10312500,33343750,34375
#NAME?,19,10312500,33343750,34375
#NAME?,20,10312500,33343750,34375
#NAME?,21,10312500,33343750,34375
#NAME?,22,10312500,33343750,34375
#NAME?,23,10312500,33343750,34375
#NAME?,24,10312500,33343750,34375
#NAME?,25,10312500,33343750,34375
#NAME?,26,10312500,33343750,34375
#NAME?,27,10312500,33343750,34375
#NAME?,28,10312500,33343750,34375
#NAME?,29,10312500,33343750,34375
#NAME?,30,10312500,33343750,34375
#NAME?,31,10312500,33343750,34375
#NAME?,32,10312500,33343750,34375
#NAME?,33,10312500,33343750,34375
#NAME?,34,10312500,33343750,34375
#NAME?,35,10312500,33343750,34375
#NAME?,36,10312500,33343750,34375
#NAME?,37,10312500,33343750,34375
#NAME?,38,10312500,33343750,34375
#NAME?,39,10312500,33343750,34375
#NAME?,40,10312500,33343750,34375
#NAME?,41,10312500,33343750,34375
#NAME?,42,10312500,33343750,34375
#NAME?,43,10312500,33343750,34375
#NAME?,44,10312500,33343750,34375
#NAME?,45,10312500,33343750,34375
#NAME?,46,10312500,33343750,34375
#NAME?,47,10312500,33343750,34375
#NAME?,48,10312500,33343750,34375
#NAME?,49,10312500,33343750,34375
#NAME?,50,10312500,33343750,34375
#NAME?,51,10312500,33343750,34375
