Easting,Northing,Angle,Type,Width\Diameter,Length,Depth,Distribution
206307,770893,152,square,24,24,12,4.166667
206295.26321093,770870.926310178,152,square,24,24,12,4.166667
206283.526421861,770848.852620357,152,square,24,24,12,4.166667
206271.789632791,770826.778930536,152,square,24,24,12,4.166667
206284.043362586,770905.206260632,152,square,24,24,12,4.166667
206272.306573516,770883.132570811,152,square,24,24,12,4.166667
206260.569784446,770861.05888099,152,square,24,24,12,4.166667
206248.832995377,770838.985191168,152,square,24,24,12,4.166667
206252,770743,152,square,24,24,12,4.166667
206240.26321093,770720.926310178,152,square,24,24,12,4.166667
206228.526421861,770698.852620357,152,square,24,24,12,4.166667
206229.043362586,770755.206260632,152,square,24,24,12,4.166667
206217.306573516,770733.132570811,152,square,24,24,12,4.166667
206205.569784446,770711.05888099,152,square,24,24,12,4.166667
206128,770649,152,square,24,24,12,4.166667
206116.26321093,770626.926310178,152,square,24,24,12,4.166667
206104.526421861,770604.852620357,152,square,24,24,12,4.166667
206092.789632791,770582.778930536,152,square,24,24,12,4.166667
206081.052843721,770560.705240714,152,square,24,24,12,4.166667
206105.043362586,770661.206260632,152,square,24,24,12,4.166667
206093.306573516,770639.132570811,152,square,24,24,12,4.166667
206081.569784446,770617.05888099,152,square,24,24,12,4.166667
206069.832995377,770594.985191168,152,square,24,24,12,4.166667
206058.096206307,770572.911501347,152,square,24,24,12,4.166667
