Easting,Northing,Angle,Type,Width\Diameter,Length,Depth,Distribution
206307,770893,137,square,24,24,12,4.166667
206289.950040998,770874.71615746,137,square,24,24,12,4.166667
206272.900081997,770856.432314919,137,square,24,24,12,4.166667
206255.850122995,770838.148472379,137,square,24,24,12,4.166667
206287.984803758,770910.731957362,137,square,24,24,12,4.166667
206270.934844756,770892.448114821,137,square,24,24,12,4.166667
206253.884885755,770874.164272281,137,square,24,24,12,4.166667
206236.834926753,770855.88042974,137,square,24,24,12,4.166667
206252,770743,137,square,24,24,12,4.166667
206234.950040998,770724.71615746,137,square,24,24,12,4.166667
206217.900081997,770706.432314919,137,square,24,24,12,4.166667
206232.984803758,770760.731957362,137,square,24,24,12,4.166667
206215.934844756,770742.448114821,137,square,24,24,12,4.166667
206198.884885755,770724.164272281,137,square,24,24,12,4.166667
206128,770649,137,square,24,24,12,4.166667
206110.950040998,770630.71615746,137,square,24,24,12,4.166667
206093.900081997,770612.432314919,137,square,24,24,12,4.166667
206076.850122995,770594.148472379,137,square,24,24,12,4.166667
206059.800163994,770575.864629838,137,square,24,24,12,4.166667
206108.984803758,770666.731957362,137,square,24,24,12,4.166667
206091.934844756,770648.448114821,137,square,24,24,12,4.166667
206074.884885755,770630.164272281,137,square,24,24,12,4.166667
206057.834926753,770611.88042974,137,square,24,24,12,4.166667
206040.784967752,770593.5965872,137,square,24,24,12,4.166667
